Episode,TotalReward,FinalEpsilon,TotalFrames,EpisodeSteps
1,-64.8562300319497,0.9675439394771859,1000,1000
2,-53.125000000000725,0.9361519151813016,2000,1000
3,-54.83870967742016,0.9057890438555999,3000,1000
4,-61.165048543690176,0.8764215858525181,4000,1000
5,-57.59717314487715,0.848016907641708,5000,1000
6,-42.148760330579194,0.820543445547202,6000,1000
7,-62.61682242990735,0.7939706706734139,7000,1000
8,-62.64367816092043,0.7682690549810022,8000,1000
9,-61.29032258064588,0.7434100384749007,9000,1000
10,-62.14511041009553,0.7193659974680514,10000,1000
11,-47.955390334573174,0.6961102138855771,11000,1000
12,-61.165048543690176,0.6736168455752829,12000,1000
13,-63.08724832214853,0.6518608975914947,13000,1000
14,-61.403508771930696,0.6308181944203255,14000,1000
15,-63.21070234113796,0.6104653531155071,15000,1000
16,-53.9877300613504,0.5907797573149315,16000,1000
17,-42.30769230769313,0.5717395321090338,17000,1000
18,-51.38888888888948,0.5533235197330861,18000,1000
19,-49.458483754513075,0.5355112560563938,19000,1000
20,-46.12794612794659,0.5182829478422661,20000,1000
21,-57.57575757575804,0.5016194507534955,21000,1000
22,-44.281524926686714,0.4855022480789014,22000,1000
23,-47.19471947194762,0.46991343015730236,23000,1000
24,-26.517571884984203,0.45483567447604933,24000,1000
25,-9.677419354838522,0.4402522264220074,25000,1000
26,-28.35820895522439,0.4261468806635951,26000,1000
27,-18.149466192171406,0.4125039631431931,27000,1000
28,-9.747292418772934,0.39930831365991226,28000,1000
29,-40.39735099337803,0.38654526902336594,29000,1000
30,-42.953020134228844,0.3742006467597279,30000,1000
31,-29.05405405405407,0.36226072935196846,31000,1000
32,-41.37931034482818,0.35071224899675824,32000,1000
33,-38.461538461538815,0.3395423728610988,33000,1000
34,-51.6616314199401,0.3287386888222992,34000,1000
35,-29.824561403509545,0.3182891916754517,35000,1000
36,-24.528301886793162,0.30818226979308005,36000,1000
37,-37.98449612403173,0.2984066922221363,37000,1000
38,-34.06593406593481,0.2889515962040088,38000,1000
39,-32.835820895523106,0.27980647510367246,39000,1000
40,-25.09363295880222,0.2709611667345695,40000,1000
41,-39.39393939394009,0.26240584206624484,41000,1000
42,-44.9275362318845,0.25413099430219044,42000,1000
43,-21.146953405018632,0.2461274283157594,43000,1000
44,-33.33333333333394,0.23838625043241324,44000,1000
45,50.87719298245902,0.23089885854694553,45000,1000
46,-40.652818991098464,0.22365693256470284,46000,1000
47,-15.384615384616046,0.21665242515617883,47000,1000
48,-115.43505154639234,0.21069873305039596,47877,877
49,-28.792569659443433,0.2041190459526831,48877,1000
50,-17.647058823530152,0.19775506665564144,49877,1000
51,-29.32862190812801,0.19159972341640863,50877,1000
52,-35.48387096774253,0.18564617633142957,51877,1000
53,-74.35897435897441,0.1798878097358601,52877,1000
54,-47.80219780219852,0.17431822485214754,53877,1000
55,-27.480916030535095,0.1689312326796196,54877,1000
56,-45.57823129251766,0.16372084711718002,55877,1000
57,-67.10526315789521,0.15868127831146947,56877,1000
58,26.666666666665712,0.15380692622309933,57877,1000
59,-33.593750000000746,0.14909237440380965,58877,1000
60,8.843537414964892,0.14453238397763593,59877,1000
61,82.13058419244095,0.1401218878193969,60877,1000
62,-32.25806451612978,0.1358559849240341,61877,1000
63,-54.86111111111183,0.1317299349605464,62877,1000
64,52.905198776757324,0.12773915300446786,63877,1000
65,94.35736677116338,0.12387920444303566,64877,1000
66,7.526881720430506,0.12014580004738608,65877,1000
67,-19.708029197081007,0.11653479120630351,66877,1000
68,-26.17449664429603,0.11304216531622555,67877,1000
69,58.24915824915769,0.10966404132238189,68877,1000
70,-26.829268292683633,0.10639666540611172,69877,1000
71,15.942028985507585,0.10323640681356806,70877,1000
72,139.72602739726176,0.1001797538211732,71877,1000
73,49.501661129570614,0.09722330983334243,72877,1000
74,132.19814241486412,0.09436378960813926,73877,1000
75,-21.768707482993936,0.09159801560666885,74877,1000
76,-36.842105263158636,0.08892291446215207,75877,1000
77,66.66666666666792,0.08633551356475765,76877,1000
78,391.999999999995,0.08383293775839616,77877,1000
79,54.72779369627833,0.08141240614580657,78877,1000
80,160.4166666666716,0.07907122899838427,79877,1000
81,286.5248226950332,0.07680680476731688,80877,1000
82,367.94871794871307,0.07461661719270693,81877,1000
83,270.6293706293606,0.07249823250746852,82877,1000
84,309.5238095238068,0.07044929673289145,83877,1000
85,459.4405594405532,0.06846753306286693,84877,1000
86,466.5399239543656,0.0665507393338689,85877,1000
87,336.3057324840703,0.06469678557787906,86877,1000
88,21.77121771217879,0.06290361165553661,87877,1000
89,389.6551724137878,0.06116922496688252,88877,1000
90,298.6254295532584,0.05949169823715462,89877,1000
91,468.6900958466388,0.057869167375172836,90877,1000
92,552.733118971051,0.05629982940193514,91877,1000
93,581.1594202898483,0.05478194044712183,92877,1000
94,547.6510067114003,0.05331381381128258,93877,1000
95,398.1818181818078,0.05189381809155239,94877,1000
96,477.85467128027085,0.05052037536881382,95877,1000
97,507.50853242319545,0.04919195945429123,96877,1000
98,443.28358208954654,0.04790709419362844,97877,1000
99,534.8122866894083,0.046664351826565385,98877,1000
100,420.5047318611904,0.045462351400390885,99877,1000
101,342.42424242423897,0.04429975723540868,100877,1000
102,500.60975609755303,0.04317527744071144,101877,1000
103,411.8644067796502,0.042087662478613584,102877,1000
104,635.2941176470486,0.04103570377614741,103877,1000
105,552.6946107784322,0.040018232382079966,104877,1000
106,628.2608695652087,0.03903411766795805,105877,1000
107,615.2777777777671,0.0380822660717381,106877,1000
108,502.7874564459829,0.03716161988260466,107877,1000
109,220.35928143713065,0.03627115606562739,108877,1000
110,495.7446808510561,0.03540988512495033,109877,1000
111,474.32432432431557,0.03457685000425018,110877,1000
112,488.43537414965385,0.03377112502324204,111877,1000
113,503.77358490564944,0.03299181484905039,112877,1000
114,711.8081180811714,0.0322380535013028,113877,1000
115,609.7902097902007,0.031509003389840314,114877,1000
116,483.85093167700666,0.030803854383975593,115877,1000
117,92.15686274509756,0.030121822912264354,116877,1000
118,733.9350180505318,0.02946215109178981,117877,1000
119,633.1081081080977,0.028824105885992553,118877,1000
120,600.7042253521022,0.028206978290110096,119877,1000
121,369.5945945945848,0.027610082543320827,120877,1000
122,584.5425867507785,0.027032755366717003,121877,1000
123,236.44859813083764,0.02647435522625998,122877,1000
124,697.101449275355,0.025934261619898535,123877,1000
125,-10.453164556960857,0.025721642660144317,124280,403
126,37.500000000002764,0.02520622590691634,125280,1000
127,631.8007662835164,0.024707706524736077,126280,1000
128,470.9090909090774,0.024225530551888984,127280,1000
129,613.8461538461445,0.023759162187685704,128280,1000
130,738.1294964028623,0.02330808319707283,129280,1000
131,573.7160120845779,0.022871792334762893,130280,1000
132,795.3068592057673,0.02244980478824353,131280,1000
133,823.3576642335626,0.022041651639047113,132280,1000
134,378.6885245901529,0.021646879341681906,133280,1000
135,825.0936329587911,0.021265049219646007,134280,1000
136,730.1282051281942,0.020895736977963875,135280,1000
137,767.595818815319,0.020538532231703814,136280,1000
138,796.0573476702392,0.020193038049952497,137280,1000
139,739.7212543553885,0.01985887051473976,138280,1000
140,206.2656050955336,0.01961224951718396,139040,760
141,865.0349650349509,0.019297122494870714,140040,1000
142,548.0263157894599,0.01899232656519239,141040,1000
143,900.8999999999828,0.018700132682984212,142031,991
144,8.948754448399683,0.01860352161704555,142366,335
145,835.1535836177303,0.018321464628851442,143366,1000
146,756.6666666666572,0.018048654568616637,144366,1000
147,853.0685920577541,0.017784788285984066,145366,1000
148,801.3605442176794,0.017529572569047507,146366,1000
149,51.07913669065128,0.017282723818530403,147366,1000
150,901.0999999999887,0.017046550994384086,148355,989
151,365.5737704917905,0.01681553757463577,149355,1000
152,809.6774193548297,0.0165920976756278,150355,1000
153,578.663239074538,0.016375983007817216,151355,1000
154,782.352941176454,0.0161669534215605,152355,1000
155,879.3814432989518,0.01596477664025591,153355,1000
156,876.6666666666564,0.015769228002234483,154355,1000
157,873.4848484848321,0.015580090211112832,155355,1000
158,848.8054607508354,0.015397153094330361,156355,1000
159,818.215613382887,0.015220213369602605,157355,1000
160,554.9520766773052,0.015049074419031064,158355,1000
161,879.3814432989524,0.014883546070618675,159355,1000
162,833.0985915492802,0.014723444386948017,160355,1000
163,850.7042253520955,0.014568591460787483,161355,1000
164,903.8999999999899,0.014424563412698283,162316,961
165,515.384615384604,0.01427950897036539,163316,1000
166,883.8709677419199,0.014139209978294577,164316,1000
167,874.8201438848766,0.01400351053428229,165316,1000
168,704.96453900708,0.01387225984720715,166316,1000
169,806.5743944636591,0.013745312069468744,167316,1000
170,906.199999999989,0.013630020430369804,168254,938
171,893.2885906040098,0.013511014205332295,169254,1000
172,829.5302013422656,0.01339590946841843,170254,1000
173,857.4468085106259,0.013284578313633597,171254,1000
174,275.79617834393616,0.013176897028240452,172254,1000
175,636.1563517915172,0.0130727459552876,173254,1000
176,807.8498293515185,0.012972009360645128,174254,1000
177,612.4999999999903,0.012874575304399201,175254,1000
178,771.3826366559363,0.012780335516462871,176254,1000
179,815.1291512915022,0.012689185276264843,177254,1000
180,896.3768115941929,0.012601023296382506,178254,1000
181,823.0769230769098,0.01251575160998994,179254,1000
182,873.880597014909,0.012433275461995796,180254,1000
183,896.2686567164014,0.012353503203750126,181254,1000
184,885.4014598539974,0.012276346191203106,182254,1000
185,767.7966101694803,0.012201718686402534,183254,1000
186,886.5319865319702,0.012129537762220624,184254,1000
187,886.6666666666572,0.01205972321020421,185254,1000
188,908.499999999992,0.011997850014908537,186169,915
189,695.8477508650418,0.011932352700767753,187169,1000
190,889.1696750902443,0.011869002643992457,188169,1000
191,720.7547169811172,0.011807729449112942,189169,1000
192,893.1506849314891,0.011748465028497506,190169,1000
193,902.5999999999839,0.011692609819717516,191143,974
194,616.7630057803323,0.011637119469464727,192143,1000
195,560.4938271604827,0.011583448309278842,193143,1000
196,744.8844884488344,0.011531536699015507,194143,1000
197,910.2999999999865,0.011486421583751742,195040,897
198,913.6999999999866,0.0114442713569317,195903,863
199,847.955390334558,0.011396922509889334,196903,1000
200,808.7837837837673,0.011351125942690698,197903,1000
201,864.7435897435757,0.01130683076554937,198903,1000
202,690.0874635568402,0.011263987757044576,199903,1000
203,911.0999999999918,0.011227081120551069,200792,889
204,855.3903345724773,0.011186852616394497,201792,1000
