Episode,TotalReward,FinalEpsilon,TotalFrames,EpisodeSteps
1,-58.3333333333342,0.9675439394771859,1000,1000
2,-56.67870036101161,0.9361519151813016,2000,1000
3,-43.66197183098642,0.9057890438555999,3000,1000
4,-56.83453237410155,0.8764215858525181,4000,1000
5,-59.04436860068348,0.848016907641708,5000,1000
6,-65.11627906976807,0.820543445547202,6000,1000
7,-40.74074074074149,0.7939706706734139,7000,1000
8,-47.36842105263215,0.7682690549810022,8000,1000
9,-56.112852664577645,0.7434100384749007,9000,1000
10,-59.375000000000846,0.7193659974680514,10000,1000
11,-54.703832752614176,0.6961102138855771,11000,1000
12,-62.732919254659265,0.6736168455752829,12000,1000
13,-46.36015325670563,0.6518608975914947,13000,1000
14,-66.04938271605015,0.6308181944203255,14000,1000
15,-53.33333333333395,0.6104653531155071,15000,1000
16,-52.38095238095312,0.5907797573149315,16000,1000
17,-65.63573883161575,0.5717395321090338,17000,1000
18,-55.326460481100085,0.5533235197330861,18000,1000
19,-62.3824451410664,0.5355112560563938,19000,1000
20,-77.91798107255512,0.5182829478422661,20000,1000
21,-72.12543554006992,0.5016194507534955,21000,1000
22,-74.45255474452567,0.4855022480789014,22000,1000
23,-77.19869706840376,0.46991343015730236,23000,1000
24,-77.27272727272728,0.45483567447604933,24000,1000
25,-78.9789789789788,0.4402522264220074,25000,1000
26,-76.35135135135127,0.4261468806635951,26000,1000
27,-70.19867549668896,0.4125039631431931,27000,1000
28,-50.35460992907846,0.39930831365991226,28000,1000
29,-53.23741007194313,0.38654526902336594,29000,1000
30,-57.51633986928147,0.3742006467597279,30000,1000
31,-36.507936507936726,0.36226072935196846,31000,1000
32,-70.90909090909109,0.35071224899675824,32000,1000
33,-65.15679442508758,0.3395423728610988,33000,1000
34,-48.63013698630162,0.3287386888222992,34000,1000
35,-65.39792387543298,0.3182891916754517,35000,1000
36,-27.4447949526818,0.30818226979308005,36000,1000
37,-35.672514619883216,0.2984066922221363,37000,1000
38,-0.35587188612192167,0.2889515962040088,38000,1000
39,88.35616438356207,0.27980647510367246,39000,1000
40,-26.05633802816978,0.2709611667345695,40000,1000
41,-23.91304347826164,0.26240584206624484,41000,1000
42,-66.60000000000018,0.2548073585922617,41917,917
43,-128.7904458598732,0.24761972691897446,42811,894
44,-19.732441471572617,0.23982962566816962,43811,1000
45,-33.33333333333404,0.23229491431400615,44811,1000
46,-13.793103448276662,0.22500722017977468,45811,1000
47,-34.707903780069465,0.2179584450777577,46811,1000
48,17.870722433458752,0.2111407563104102,47811,1000
49,-15.360501567398869,0.20454657796655637,48811,1000
50,119.51219512195567,0.19816858250293115,49811,1000
51,-67.03296703296749,0.1919996826017117,50811,1000
52,-30.72289156626537,0.18603302329499036,51811,1000
53,48.86731391585853,0.18026197434743868,52811,1000
54,-61.904761904762424,0.17468012288869697,53811,1000
55,-47.55244755244832,0.169281266287303,54811,1000
56,-110.54494773519234,0.16471297248173689,55684,873
57,41.10429447852648,0.15964087793776544,56684,1000
58,15.384615384615293,0.1547350664316693,57684,1000
59,31.868131868130753,0.14999008655704327,58684,1000
60,-29.936305732484836,0.14540066562584186,59684,1000
61,-77.37272727272787,0.14315381225474047,60186,502
62,32.89036544850684,0.13878851105334322,61186,1000
63,-61.26760563380359,0.13456632144789835,62186,1000
64,-16.083916083916503,0.1304825516822243,63186,1000
65,-30.46357615894119,0.1265326638142027,64186,1000
66,-16.408668730650493,0.12271226867315368,65186,1000
67,4.2471042471032625,0.11901712098252788,66186,1000
68,15.624999999999039,0.1154431146424957,67186,1000
69,-70.09966777408665,0.11198627816719174,68186,1000
70,9.89010989010951,0.10864277027154436,69186,1000
71,100.71684587814082,0.10540887560278547,70186,1000
72,80.27210884354169,0.10228100061189897,71186,1000
73,467.2727272727166,0.0992556695604185,72186,1000
74,382.20064724918564,0.09632952065813846,73186,1000
75,259.4306049822102,0.09349930232744547,74186,1000
76,189.23076923077318,0.09076186959011985,75186,1000
77,551.0791366906357,0.08811418057259203,76186,1000
78,254.014598540139,0.08555329312576973,77186,1000
79,207.93650793650988,0.08307636155568096,78186,1000
80,249.4809688581327,0.08068063346129888,79186,1000
81,273.3333333333279,0.0783634466760355,80186,1000
82,251.5358361774718,0.0761222263095046,81186,1000
83,406.02409638553667,0.07395448188626774,82186,1000
84,334.210526315779,0.07185780457838296,83186,1000
85,79.73856209150793,0.06982986452868155,84186,1000
86,257.85953177257005,0.06786840826179805,85186,1000
87,262.00716845877196,0.06597125618007701,86186,1000
88,124.56140350877658,0.06413630014157344,87186,1000
89,468.4931506849222,0.06236150111745614,88186,1000
90,675.2808988763957,0.06064488692621013,89186,1000
91,470.4918032786796,0.05898455004212107,90186,1000
92,329.0429042904225,0.05737864547560602,91186,1000
93,492.8571428571344,0.055825388723035094,92186,1000
94,654.3859649122693,0.0543230537837661,93186,1000
95,561.3418530351361,0.052869971242188445,94186,1000
96,173.2558139534924,0.05146452641264525,95186,1000
97,557.575757575747,0.050105157545171884,96186,1000
98,498.78419452886806,0.04879035409005765,97186,1000
99,618.0327868852365,0.047518655019301775,98186,1000
100,660.5633802816781,0.0462886472030987,99186,1000
101,327.6315789473582,0.04509896383954838,100186,1000
102,745.0704225351991,0.043948282935846926,101186,1000
103,710.9090909090772,0.04283532583926967,102186,1000
104,839.9293286218939,0.041758855816314465,103186,1000
105,875.9450171821138,0.040717676678425956,104186,1000
106,790.0709219858054,0.039710631452774196,105186,1000
107,225.40877192981657,0.03894618094914839,105968,782
108,731.0810810810674,0.03799721226148184,106968,1000
109,649.9999999999877,0.03707935446791746,107968,1000
110,605.5214723926299,0.036191587632029114,108968,1000
111,736.120401337777,0.035332925254883935,109968,1000
112,761.2099644128002,0.03450241317883097,110968,1000
113,753.2423208190969,0.03369912852722779,111968,1000
114,796.7971530248986,0.032922178678927126,112968,1000
115,641.0714285714189,0.032170700276383676,113968,1000
116,740.3908794788131,0.03144385826627916,114968,1000
117,731.081081081067,0.030740844971599346,115968,1000
118,755.555555555542,0.03006087919413214,116968,1000
119,905.399999999984,0.02943816256807366,117914,946
120,811.4754098360534,0.0288009037996275,118914,1000
121,341.76531365312786,0.028247077735564896,119811,897
122,851.0489510489363,0.027648867372585102,120811,1000
123,864.2857142856998,0.027070268678035872,121811,1000
124,217.86666666666105,0.026682689247348033,122500,689
125,903.7999999999913,0.02615621722578653,123462,962
126,909.3999999999936,0.025675593413588528,124368,906
127,762.6760563380118,0.025161686334232512,125368,1000
128,255.93220338981737,0.02466462713292769,126368,1000
129,886.5319865319698,0.02418386347053294,127368,1000
130,915.6999999999942,0.023790844681618704,128211,843
131,885.13011152415,0.023338727015308255,129211,1000
132,911.3999999999919,0.022950550235386877,130097,886
133,174.0430379746802,0.022687766689738636,130712,615
134,793.2926829268138,0.022271812221474493,131712,1000
135,867.1052631578797,0.021869494362701972,132712,1000
136,904.0999999999825,0.02149606661206256,133671,959
137,889.7610921501514,0.021119180719400537,134671,1000
138,910.4999999999878,0.020792357842282456,135566,895
139,902.9999999999817,0.02044898603049738,136536,970
140,892.3664122137285,0.020106427522408633,137536,1000
141,872.9729729729544,0.01977509941802809,138536,1000
