Model,Episode,Total_Reward,Episode_Length
Double_DQN_with_Huber_Loss,1,535.3790613718268,1000
Double_DQN_with_Huber_Loss,2,766.1971830985743,1000
Double_DQN_with_Huber_Loss,3,904.1999999999856,958
Double_DQN_with_Huber_Loss,4,871.428571428554,1000
Double_DQN_with_Huber_Loss,5,868.8473520249016,1000
Double_DQN_with_Huber_Loss,6,922.7999999999919,772
Double_DQN_with_Huber_Loss,7,766.0130718954061,1000
Double_DQN_with_Huber_Loss,8,776.4060150375783,861
Double_DQN_with_Huber_Loss,9,799.3795847750775,938
Double_DQN_with_Huber_Loss,10,829.9363057324643,1000
Double_DQN_with_Huber_Loss,11,917.2999999999837,827
Double_DQN_with_Huber_Loss,12,782.2705882352764,943
Double_DQN_with_Huber_Loss,13,705.885770750977,954
Double_DQN_with_Huber_Loss,14,625.2396166134051,1000
Double_DQN_with_Huber_Loss,15,784.8174825174664,978
Double_DQN_with_Huber_Loss,16,788.1230769230615,889
Double_DQN_with_Huber_Loss,17,728.7461773700139,1000
Double_DQN_with_Huber_Loss,18,484.71760797340636,1000
Double_DQN_with_Huber_Loss,19,784.0818181818022,942
Double_DQN_with_Huber_Loss,20,340.39735099336394,1000
DQN_with_Huber_Loss,1,862.3824451410462,1000
DQN_with_Huber_Loss,2,889.8305084745615,1000
DQN_with_Huber_Loss,3,873.5973597359632,1000
DQN_with_Huber_Loss,4,774.6177370030405,1000
DQN_with_Huber_Loss,5,862.962962962946,1000
DQN_with_Huber_Loss,6,843.2624113475057,1000
DQN_with_Huber_Loss,7,874.1697416974055,1000
DQN_with_Huber_Loss,8,805.8441558441388,1000
DQN_with_Huber_Loss,9,577.9661016949007,1000
DQN_with_Huber_Loss,10,889.2857142856968,1000
DQN_with_Huber_Loss,11,819.9999999999885,1000
DQN_with_Huber_Loss,12,822.4376731301862,1000
DQN_with_Huber_Loss,13,837.282229965142,1000
DQN_with_Huber_Loss,14,896.666666666656,1000
DQN_with_Huber_Loss,15,888.847583643108,1000
DQN_with_Huber_Loss,16,835.5932203389684,1000
DQN_with_Huber_Loss,17,876.4309764309594,1000
DQN_with_Huber_Loss,18,860.1226993864925,1000
DQN_with_Huber_Loss,19,874.999999999983,1000
DQN_with_Huber_Loss,20,871.9298245613858,1000
DQN_with_MSE_Loss,1,-93.3333333333323,1000
DQN_with_MSE_Loss,2,-92.619926199261,1000
DQN_with_MSE_Loss,3,-93.69085173501472,1000
DQN_with_MSE_Loss,4,-93.05555555555453,1000
DQN_with_MSE_Loss,5,-92.64705882352841,1000
DQN_with_MSE_Loss,6,-92.50936329587915,1000
DQN_with_MSE_Loss,7,-92.21789883268384,1000
DQN_with_MSE_Loss,8,-92.42424242424144,1000
DQN_with_MSE_Loss,9,-92.64705882352841,1000
DQN_with_MSE_Loss,10,-92.83154121863699,1000
DQN_with_MSE_Loss,11,-93.39933993399237,1000
DQN_with_MSE_Loss,12,-93.05555555555453,1000
DQN_with_MSE_Loss,13,-93.0795847750855,1000
DQN_with_MSE_Loss,14,-92.64705882352841,1000
DQN_with_MSE_Loss,15,-92.98245614034987,1000
DQN_with_MSE_Loss,16,-93.05555555555453,1000
DQN_with_MSE_Loss,17,-93.76947040498337,1000
DQN_with_MSE_Loss,18,-92.2480620155029,1000
DQN_with_MSE_Loss,19,-93.31103678929662,1000
DQN_with_MSE_Loss,20,-93.90243902438918,1000
